"","age","accuracy_trajectory_adultzscale","accuracy_trajectory_minmaxscale","latency_trajectory_adultzscale","latency_trajectory_minmaxscale"
"184",26.4,-0.0360879520519772,0.97783942990961,0.00856816821608362,0.0374182730719886
"185",26.5,-0.0370714892871211,0.977465782048316,0.00998877388801489,0.0379756960340962
"186",26.6,-0.0380303296586927,0.977101516577363,0.0114355773279795,0.0385433985816977
"187",26.7,-0.0389660213142541,0.97674604535224,0.0129090847665144,0.0391215793515655
"188",26.8,-0.0398802816458083,0.976398715932118,0.0144101043484454,0.0397105554468137
"189",26.9,-0.0407749751337672,0.976058819996973,0.0159397384486652,0.0403107594217325
"190",27,-0.0416520734806441,0.975725608492879,0.0174993271820152,0.0409227171159684
"191",27.1,-0.0425135815650375,0.975398319762246,0.0190902988779897,0.0415469889831882
"192",27.2,-0.0433615625736095,0.975076169996127,0.0207142832426408,0.0421842144940012
"193",27.3,-0.0441981253254002,0.974758358049741,0.0223730994428031,0.0428351074604002
"194",27.4,-0.045025386625432,0.974444079744413,0.0240686312899278,0.0435004070598923
